"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000038776",1014.46785551417,-2.67849398106416,0.162872278409038,-16.4453644734887,9.05380739178565e-61,1.81566562402768e-57
"ENSMUSG00000053137",622.352558426551,-2.14635710953113,0.144859765565365,-14.8167926487678,1.14104046845137e-49,1.05612072589547e-46
"ENSMUSG00000085971",406.430038975489,-4.08760716676308,0.298585323949384,-13.689913196993,1.16648524854251e-42,6.68368273956561e-40
"ENSMUSG00000029560",918.834842229559,-1.53015376787654,0.116508403665617,-13.1334197339801,2.11868239909013e-39,9.27019853347343e-37
"ENSMUSG00000030067",3557.94166071741,-1.49501232806554,0.114109988302059,-13.1015027721159,3.22802201438105e-39,1.38718481743e-36
"ENSMUSG00000043168",305.009257263743,-4.26985746427017,0.330324544458225,-12.9262494595226,3.20054685629e-38,1.20345562650967e-35
"ENSMUSG00000021262",3976.82817520339,-1.60589772894811,0.124346250036894,-12.9147258439368,3.71765810806419e-38,1.37639142108561e-35
"ENSMUSG00000042474",4203.467356411,-5.26226539641096,0.417695583227881,-12.5983266467533,2.15671589292906e-36,6.65402153376126e-34
"ENSMUSG00000005583",1973.3757411647,-2.30061314268912,0.185818916500783,-12.380941542512,3.31431606565347e-35,9.27430419999428e-33
"ENSMUSG00000024063",4688.50230435754,-1.69618691541091,0.139760984579687,-12.1363406283376,6.77905585266888e-34,1.79272504499425e-31
"ENSMUSG00000022097",6196.6509867199,-16.0058594586175,1.36381354111366,-11.7361053957181,8.32317425752704e-32,1.83758888538888e-29
"ENSMUSG00000028459",1140.24432641005,-3.6008064451927,0.307083466050003,-11.7258232476977,9.39828675572347e-32,2.05608882524078e-29
"ENSMUSG00000056144",1464.22537762677,-2.37731948620697,0.20487871881195,-11.6035452583488,3.95353686054698e-31,8.273205612962e-29
"ENSMUSG00000040592",6151.85565524193,-3.30828264593039,0.285977070212826,-11.5683493206933,5.96186300515546e-31,1.22625840358176e-28
"ENSMUSG00000022885",2679.90815326259,-2.56691435151412,0.225437043624493,-11.3863911194195,4.8881869906233e-30,9.19017343198046e-28
"ENSMUSG00000046668",455.065320818965,-2.25654292387902,0.198177226200182,-11.3864895939135,4.8826674657528e-30,9.19017343198046e-28
"ENSMUSG00000036106",451.645218934678,-2.76741707555021,0.24452086785624,-11.3177132889011,1.07232596764471e-29,1.96988735964657e-27
"ENSMUSG00000026594",2357.66902464868,-2.38853352734284,0.211889733456996,-11.2725307091276,1.79339890267379e-29,3.19689959946999e-27
"ENSMUSG00000004837",1427.81434005339,-1.89216994605956,0.16832101037383,-11.2414364781744,2.55195605336874e-29,4.35551932087368e-27
"ENSMUSG00000033857",446.079961299464,-3.42532202614803,0.307527827559485,-11.1382506530583,8.17085124302219e-29,1.34679133673513e-26
"ENSMUSG00000037138",1039.46030396467,-2.47404325887762,0.225050749422807,-10.9932682527068,4.11741148918401e-28,6.60570049914755e-26
"ENSMUSG00000025279",1009.9214658947,-3.26308744742675,0.297414797205833,-10.9715033619139,5.23939135189956e-28,8.29512847917519e-26
"ENSMUSG00000064267",2293.06691338315,-1.89179097479135,0.174246460523339,-10.8569836604398,1.84751173159951e-27,2.77877311380889e-25
"ENSMUSG00000015597",1551.67977677365,-2.31219575463653,0.214621041711695,-10.7733879967956,4.59764870382811e-27,6.62529437470799e-25
"ENSMUSG00000029217",971.479598554077,-1.85521771413283,0.174888723096568,-10.6079893619467,2.73572696398443e-26,3.6986106397913e-24
"ENSMUSG00000041538",4223.46275524152,-3.47311816888802,0.332248448565072,-10.4533766339252,1.41399425126986e-25,1.80998785408559e-23
"ENSMUSG00000003420",574.950583396846,-2.52202641252956,0.242622085233911,-10.3948756771177,2.61627906308148e-25,3.29637464152125e-23
"ENSMUSG00000089809",367.784134029472,-2.98354401447559,0.287633413319279,-10.3727309704586,3.29957662119291e-25,4.13564121817747e-23
"ENSMUSG00000086825",1283.91801382099,-3.08512090710013,0.298875302962396,-10.3224350641254,5.57899727299091e-25,6.8499270089044e-23
"ENSMUSG00000090272",5986.77701138891,-1.66575799778192,0.161833407748124,-10.2930415972856,7.57451638598006e-25,9.1598360215382e-23
"ENSMUSG00000067341",411.591495416947,-3.64797961539348,0.355739337756198,-10.2546421725606,1.12792983171712e-24,1.35042942289912e-22
"ENSMUSG00000026170",448.435868726575,-3.15605167681001,0.308079723672996,-10.2442693702229,1.25569995333183e-24,1.48859208753352e-22
"ENSMUSG00000060586",18952.9026051985,-2.65962080599396,0.259956375225568,-10.2310274317611,1.43983616578294e-24,1.69851261419444e-22
"ENSMUSG00000053477",1448.34877633624,-1.94159452797707,0.191605134261395,-10.1333115913704,3.93105809696284e-24,4.54812082227936e-22
"ENSMUSG00000036594",25179.3286921734,-2.55892377353255,0.252819218620494,-10.1215555822666,4.43313066268538e-24,5.08015663797732e-22
"ENSMUSG00000020279",670.209797514657,-4.39903841757438,0.435692185766212,-10.0966658601834,5.71523326108051e-24,6.48759851075011e-22
"ENSMUSG00000043243",864.838854799397,-3.99035519991972,0.397828759364588,-10.0303336699265,1.12137006865655e-23,1.23787939001009e-21
"ENSMUSG00000039952",1169.2336136503,-1.60931269556909,0.160720884743954,-10.0130900730973,1.33515784910683e-23,1.46714948122173e-21
"ENSMUSG00000014453",2287.04811886356,-2.84396505956318,0.284429093919049,-9.99885426760384,1.54170389685605e-23,1.68641383081094e-21
