"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000026073",16288.5316639218,7.72549007743757,0.294803571127338,26.2055512010762,2.29717162077773e-151,5.5281435054016e-147
"ENSMUSG00000028480",5995.72978128092,2.3514366079228,0.0998461242535146,23.5506047480859,1.23757218854752e-122,1.4891087358698e-118
"ENSMUSG00000024222",6121.14826437851,3.68079949626093,0.161219613649883,22.8309658665628,2.25909894328932e-115,1.81217386900858e-111
"ENSMUSG00000015437",11099.2750823407,4.56984169231391,0.2330070286677,19.6124628447631,1.21027041623633e-85,7.28128939168179e-82
"ENSMUSG00000047798",12519.1737111961,3.72659346959854,0.198934049415501,18.7328085893181,2.67428211587459e-78,1.28713198237044e-74
"ENSMUSG00000032786",3037.90068183653,2.46069741495699,0.133805840241235,18.3900598846856,1.57805600235246e-75,6.32931961610201e-72
"ENSMUSG00000078763",10219.6907149752,2.79006037533202,0.152540061424047,18.29067295034,9.81953522373339e-75,3.37581593084492e-71
"ENSMUSG00000033213",537.251392745627,5.53644768332761,0.319132403385082,17.3484347706524,2.02692049132037e-67,5.47283750987656e-64
"ENSMUSG00000006345",1493.74786178572,4.71834859867206,0.271984242420174,17.347874849981,2.04677072881318e-67,5.47283750987656e-64
"ENSMUSG00000040263",1622.72735185279,2.52397499986346,0.148980013184231,16.9417020841734,2.21618546395208e-64,5.33325031900068e-61
"ENSMUSG00000026068",4587.14598133464,2.84237593870303,0.170249097230549,16.6953950707529,1.41578931089709e-62,3.09736088788532e-59
"ENSMUSG00000034361",1987.14678078749,3.41538464828884,0.211354160294497,16.1595335692938,9.72950325495947e-59,1.80108073715846e-55
"ENSMUSG00000039753",10356.2059113086,2.57120461914358,0.159890338172219,16.0810506034087,3.46453320033812e-58,5.95528510472405e-55
"ENSMUSG00000004668",916.955715327108,4.90556691852806,0.305815388705826,16.0409420182804,6.61433996008543e-58,1.06116060759637e-54
"ENSMUSG00000040809",61692.0156773364,4.23326409966187,0.265726678038191,15.930896103151,3.86774293382228e-57,5.81732710640207e-54
"ENSMUSG00000027540",12923.093100571,1.68576927328069,0.106096240928389,15.8890575059915,7.54535058347372e-57,1.0681109517135e-53
"ENSMUSG00000039813",921.385502942763,3.8970380011718,0.245536162729042,15.8715439626395,9.97564040273593e-57,1.33368770162133e-53
"ENSMUSG00000074417",1119.36621552815,3.48683610976128,0.223325344669957,15.6132574872517,5.91388376372229e-55,7.49040067231458e-52
"ENSMUSG00000033777",5095.37765479117,2.38337079610206,0.1527832903869,15.599682334806,7.31572262285388e-55,8.80264324594893e-52
"ENSMUSG00000042265",2874.84685955088,3.76212842781983,0.243314007601607,15.4620297651741,6.25946161571354e-54,7.17304494200697e-51
"ENSMUSG00000018341",1498.08048393498,2.61581239285836,0.169248007649186,15.455498881147,6.92731700642139e-54,7.57754017088777e-51
"ENSMUSG00000049130",3646.78711557304,2.19661666014781,0.143507924387168,15.3065879081464,6.90948421024585e-53,7.22942337041593e-50
"ENSMUSG00000059108",11843.1090733937,4.37411774767593,0.286730024775986,15.2551786339547,1.52078262707654e-52,1.52490141335821e-49
"ENSMUSG00000015850",1850.56396046046,4.05749480360698,0.266258557367655,15.2389273183221,1.95046273895498e-52,1.87751543251807e-49
"ENSMUSG00000004609",16234.3991170823,3.88922307702073,0.263745963450273,14.7460951672688,3.25988345842623e-49,2.90552205285286e-46
"ENSMUSG00000026358",770.160873880246,3.10315106306735,0.211695333305352,14.6585709501273,1.18745907801724e-48,1.02057866830303e-45
"ENSMUSG00000060063",22012.3763219739,2.57618529509982,0.178692756967394,14.4168422874012,4.0547352453022e-47,3.32237393715091e-44
"ENSMUSG00000031825",1522.32024637888,4.96007850042603,0.344082482564102,14.4153764047025,4.1417501813641e-47,3.32237393715091e-44
"ENSMUSG00000005800",25753.111768867,4.73653666352232,0.331811339996256,14.2747883890158,3.14240212200886e-46,2.43941635697236e-43
"ENSMUSG00000000204",10578.4029988987,4.09200906232457,0.291013846392458,14.0612177497772,6.57450791490675e-45,4.94423540538221e-42
"ENSMUSG00000056749",1168.65361317665,2.09851557802242,0.149576139388532,14.0297482379286,1.02514853910227e-44,7.47581805863516e-42
"ENSMUSG00000052212",10439.8884825657,4.8302469069054,0.344373460532639,14.0261880210935,1.07791800187973e-44,7.62944021036344e-42
"ENSMUSG00000022479",358.246639398454,4.65156530333542,0.332701768141032,13.9811860012827,2.03075414135693e-44,1.39628852605013e-41
"ENSMUSG00000056054",103113.882955945,4.15802684291177,0.298577568820273,13.9261192973765,4.39600314740683e-44,2.93860599284292e-41
"ENSMUSG00000020841",3836.31747078667,2.60789004082913,0.18772865499052,13.8918059204165,7.10217701902074e-44,4.61929432331714e-41
"ENSMUSG00000022372",10658.5689229234,1.73182181624046,0.125327766617078,13.8183410028506,1.97570764207908e-43,1.25119485280614e-40
"ENSMUSG00000032041",1028.68490120251,1.82792817379859,0.13248882831146,13.7968476066633,2.6624305535321e-43,1.64285618642949e-40
"ENSMUSG00000026770",1684.49685807804,3.97281126818732,0.288349602579009,13.7777587784216,3.46874630906603e-43,2.08688449819185e-40
"ENSMUSG00000021069",11485.6453622736,2.64068527636133,0.19202945233321,13.7514597072287,4.99122138745816e-43,2.92960348022392e-40
