"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000038776",1014.46785551417,-4.67838356973105,0.161313816317058,-29.001753703079,6.25293041307955e-185,1.50476770390759e-180
"ENSMUSG00000037071",4954.96383703718,-5.73581368181019,0.213454081928655,-26.871417168435,4.7410793061628e-159,3.80313578342693e-155
"ENSMUSG00000032028",2479.73695465468,-7.1085336378003,0.285975969519546,-24.8571012793243,2.16687028054649e-136,1.30364333253378e-132
"ENSMUSG00000030878",36331.7493068297,-7.74818855506822,0.314388083067278,-24.6452997819582,4.13292161112255e-134,1.98917517143328e-130
"ENSMUSG00000024588",169270.429078774,-7.15843130085598,0.297995555136528,-24.0219398493253,1.64053978548429e-127,5.6399414196685e-124
"ENSMUSG00000005583",1973.3757411647,-4.19164728025673,0.17912666843148,-23.4004646932857,4.22727315107964e-121,1.13032587089702e-117
"ENSMUSG00000028436",25330.8025187158,-4.73409866568153,0.21031574076435,-22.5094833533449,3.35153330045683e-112,5.76104634824955e-109
"ENSMUSG00000014453",2287.04811886356,-6.15781317506778,0.278849907177156,-22.0828948354488,4.61555900822514e-108,5.84596987015463e-105
"ENSMUSG00000040592",6151.85565524193,-6.08056134246193,0.275566155075585,-22.0657044795435,6.75088523633272e-108,7.73619301011176e-105
"ENSMUSG00000046668",455.065320818965,-4.41814065375944,0.200218691946836,-22.0665743582652,6.62227863970623e-108,7.73619301011176e-105
"ENSMUSG00000086825",1283.91801382099,-6.59710240838897,0.300353023974608,-21.9644947172121,6.29534244510935e-107,6.88624617916166e-104
"ENSMUSG00000112294",446.997076004997,-5.86238620442368,0.26750902232257,-21.9147232998918,1.88033442058026e-106,1.96740207962018e-103
"ENSMUSG00000030067",3557.94166071741,-2.36187199368233,0.109340257882454,-21.6011196555021,1.75314466864116e-103,1.75789276878539e-100
"ENSMUSG00000037138",1039.46030396467,-4.7301699583583,0.220713666039786,-21.4312509199391,6.83197944717836e-102,6.32352251524412e-99
"ENSMUSG00000078652",62398.0824981518,-4.63758288528531,0.216439191157341,-21.4267243399279,7.52947110807484e-102,6.71098971169707e-99
"ENSMUSG00000001763",5251.28099504915,-6.98745512286106,0.326396906543971,-21.4078472643849,1.12909115675606e-101,9.70413524547662e-99
"ENSMUSG00000044468",195420.594441234,-6.74275505979634,0.321488222399792,-20.9735678945379,1.14358042629398e-97,8.87750418024666e-95
"ENSMUSG00000081534",47620.297664385,-5.41092459017463,0.258112582353641,-20.9634282096372,1.415183806212e-97,1.06426244676537e-94
"ENSMUSG00000071226",297.431972251661,-7.10435323939352,0.339642798099825,-20.9171319961434,3.73936570052566e-97,2.7269041085803e-94
"ENSMUSG00000032411",27704.2729191477,-6.44573282177209,0.310217447939709,-20.7781118198897,6.8292103887321e-96,4.83367494131876e-93
"ENSMUSG00000044792",76312.8519606988,-6.31814598361375,0.304130325604949,-20.7744688762827,7.36744116583544e-96,5.06564204730942e-93
