"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000024222",6121.14826437851,4.24479071433186,0.155771650423845,27.2500849980215,1.65800287350936e-163,1.99499195755013e-159
"ENSMUSG00000105504",6804.16356300155,5.16657461802953,0.21214215489883,24.3543044073133,5.2194744883764e-131,2.0934442260463e-127
"ENSMUSG00000026073",16288.5316639218,6.80457517425006,0.289187382186389,23.5299864150516,2.01251652812125e-122,6.05390128115474e-119
"ENSMUSG00000039753",10356.2059113086,3.57901420180489,0.153753443410446,23.2776198205245,7.47301159866058e-120,1.79838024121767e-116
"ENSMUSG00000073555",1326.78478189882,5.4990956837325,0.237497628640674,23.1543182776467,1.31519408108987e-118,2.87728596012978e-115
"ENSMUSG00000028494",6969.27772975837,3.17820056009418,0.139160240922616,22.8384238128871,1.90473090744142e-115,3.81977910729815e-112
"ENSMUSG00000002699",8848.49759882617,2.08801558467077,0.0927313964155911,22.5168137802323,2.84073442488475e-112,5.25863645652704e-109
"ENSMUSG00000054072",7474.48340465797,5.94081091880885,0.264060266601747,22.4979357752779,4.34833242057876e-112,6.97617464674853e-109
"ENSMUSG00000070427",2098.62182703878,4.62956757751159,0.206255924291732,22.445743526685,1.40829059225575e-111,2.11815706891466e-108
"ENSMUSG00000022584",13067.3508027425,4.18994948341951,0.18864105149024,22.2112284167176,2.67522934698827e-109,3.78702319031016e-106
"ENSMUSG00000040809",61692.0156773364,5.63442537176925,0.25442004879559,22.1461531763801,1.13616207292862e-108,1.51898557139041e-105
"ENSMUSG00000018341",1498.08048393498,3.33902602449398,0.155474219998491,21.4763966947471,2.58821816610305e-102,2.49141880669079e-99
"ENSMUSG00000015437",11099.2750823407,4.60805385929497,0.218507383533536,21.0887787166594,1.00831112285305e-98,8.36724385222712e-96
"ENSMUSG00000018899",8436.33764760838,2.48898541757355,0.118505042618842,21.003202585894,6.13100829541013e-98,4.91809048763482e-95
"ENSMUSG00000028480",5995.72978128092,1.99949706699446,0.0964046346020409,20.7406736745427,1.48826689565171e-95,9.94865078996065e-93
"ENSMUSG00000075010",11515.1649534663,4.09796223261432,0.20076957697606,20.4112709422253,1.32786605729548e-92,8.19361453046555e-90
"ENSMUSG00000078763",10219.6907149752,2.94857394038181,0.145002089275205,20.3346996937788,6.34266282181211e-92,3.54967862341648e-89
"ENSMUSG00000052270",6009.19021960694,5.5900656962029,0.277000840846762,20.1806813261457,1.44737461544416e-90,7.74023780459191e-88
"ENSMUSG00000020572",6286.52741083747,3.4032087083416,0.17081489004283,19.9233726491191,2.55208540550095e-88,1.2533864343547e-85
"ENSMUSG00000024953",13246.9111110503,2.54273159578601,0.127858991570014,19.8869986737979,5.2738456195936e-88,2.5383018967104e-85
"ENSMUSG00000023913",16074.4515443449,3.99615747381667,0.206595692406167,19.3428886501671,2.33992936531519e-83,1.08289231108288e-80
"ENSMUSG00000066152",2096.76394563313,3.54977094182858,0.184331503052645,19.2575380932839,1.22044853752369e-82,5.54152718028443e-80
"ENSMUSG00000021591",4081.92764951241,3.62043540666938,0.190042077905165,19.0507041733992,6.48243189827614e-81,2.64406311240704e-78
"ENSMUSG00000032786",3037.90068183653,2.4228660692417,0.12932862240583,18.734182922314,2.60611853999783e-78,9.3606332335892e-76
"ENSMUSG00000047798",12519.1737111961,3.54566381859463,0.191335483108232,18.5311357882791,1.15816337272873e-76,3.81797281708451e-74
"ENSMUSG00000023206",1523.14621188592,4.15738734084385,0.225094784380161,18.469496538056,3.6345804134968e-76,1.16621570201067e-73
"ENSMUSG00000024737",2845.77270924043,3.20366466999968,0.174036893711305,18.4079628272036,1.13408923853527e-75,3.59103388491465e-73
"ENSMUSG00000049130",3646.78711557304,2.57527991226079,0.139950668325955,18.4013405799733,1.2815467791187e-75,4.00524977136254e-73
"ENSMUSG00000045551",4107.51944141605,4.95141535892743,0.270091171353798,18.3323850761544,4.56444286285711e-75,1.4082476601879e-72
"ENSMUSG00000085977",254.597526975359,5.314453531011,0.292754272221949,18.1532911225353,1.20933115390576e-73,3.63781927734278e-71
"ENSMUSG00000021322",1663.91958950191,4.40183514192427,0.243105398121259,18.1066943636055,2.82193010710204e-73,8.38391950955687e-71
"ENSMUSG00000021266",2821.41755222186,2.209041283326,0.124181946232416,17.7887474817926,8.6389417743206e-71,2.23544229891425e-68
"ENSMUSG00000004668",916.955715327108,6.38200406749186,0.361256494344235,17.666129654158,7.64665684795108e-70,1.91684163589524e-67
"ENSMUSG00000027540",12923.093100571,1.78339064091437,0.101635876950426,17.5468613488152,6.28591517309425e-69,1.49772820436152e-66
"ENSMUSG00000034266",1120.38651875103,2.78161851020647,0.159200293908665,17.4724458222566,2.32318511127211e-68,5.48112251987876e-66
"ENSMUSG00000030148",1429.48985953151,4.16324750607759,0.23830766168048,17.4700531099987,2.42269093281123e-68,5.66039391243711e-66
"ENSMUSG00000005800",25753.111768867,5.52012621159278,0.318816265062066,17.3144435103339,3.66044053259452e-67,8.2325702258773e-65
"ENSMUSG00000046879",5203.41724392153,3.21245591982225,0.186621055496797,17.2137913981383,2.09271018754779e-66,4.41763777748575e-64
"ENSMUSG00000066150",2162.53067622442,2.81676742023018,0.163692403523842,17.2076856322774,2.32541173816653e-66,4.86617682425891e-64
"ENSMUSG00000014361",1879.09193344869,3.43194578218807,0.199664402528252,17.1885711159878,3.23404947279109e-66,6.65191457801005e-64
"ENSMUSG00000036362",2071.67096770151,4.04496077226591,0.237859170068057,17.0056961483073,7.45147572778985e-65,1.4698341261415e-62
"ENSMUSG00000078922",1887.76159575416,5.48781600381256,0.323239668583686,16.9775449525056,1.20418974239997e-64,2.35600212608579e-62
"ENSMUSG00000056749",1168.65361317665,2.53912499366821,0.149566218061644,16.9765942241162,1.22385183700676e-64,2.37516084335222e-62
"ENSMUSG00000041481",4588.24619212566,4.41214177739637,0.261944518255377,16.8438026754004,1.16503167804262e-63,2.19035057281996e-61
"ENSMUSG00000026177",6353.40968195214,2.43913735485854,0.145178795786145,16.8009201457456,2.40287304775347e-63,4.44808768416825e-61
"ENSMUSG00000062070",4226.28401728668,1.85812749338884,0.11063495966013,16.7951206300161,2.64965211291011e-63,4.84230124432598e-61
"ENSMUSG00000026358",770.160873880246,3.19611817305204,0.190389201581949,16.7872870230844,3.023536951665e-63,5.42995647327002e-61
"ENSMUSG00000039813",921.385502942763,4.03533627220697,0.245176950764863,16.4588729063567,7.24366951333941e-61,1.25409285495333e-58
"ENSMUSG00000031504",653.09342753206,3.47095194567727,0.211443483954083,16.4155067858748,1.4813874213206e-60,2.51053438690706e-58
"ENSMUSG00000059089",7171.36934022981,4.55400702391239,0.277586045958235,16.4057491009385,1.739676353405e-60,2.92764415697142e-58
"ENSMUSG00000031652",6892.76589474993,2.66588635112239,0.162542284862714,16.4011866412118,1.87538761045667e-60,3.13411130872498e-58
"ENSMUSG00000016496",5085.67269910818,2.61969541315404,0.161175842968641,16.2536479716985,2.10460005796602e-59,3.44538778196955e-57
